Scene Name,Translation RMSE x 100,Rotation RMSE
fern_0_100_even_odd,43.68451690673828,9.858057022094727
fern_30_70_even_odd,0.16465139389038086,0.022499511018395424
fern_50_50,6.967983245849609,35.37821960449219
horns_0_100_even_odd,34.31708526611328,12.113789558410645
horns_30_70_even_odd,37.741233825683594,12.639352798461914
horns_50_50,0.1310214400291443,0.008547305129468441
room_0_100_even_odd,11.633575439453125,30.416015625
room_30_70_even_odd,15.574858665466309,31.301219940185547
room_50_50,23.348556518554688,33.252906799316406
trex_0_100_even_odd,0.271950900554657,0.034959759563207626
trex_30_70_even_odd,95.37653350830078,6.935194969177246
trex_50_50,11.733931541442871,22.05802345275879
